Respondent,MainBranch,Hobbyist,Age,Age1stCode,CompFreq,CompTotal,ConvertedComp,Country,CurrencyDesc,CurrencySymbol,DatabaseDesireNextYear,DatabaseWorkedWith,DevType,EdLevel,Employment,Ethnicity,Gender,JobFactors,JobSat,JobSeek,LanguageDesireNextYear,LanguageWorkedWith,MiscTechDesireNextYear,MiscTechWorkedWith,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith,NEWDevOps,NEWDevOpsImpt,NEWEdImpt,NEWJobHunt,NEWJobHuntResearch,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWOvertime,NEWPurchaseResearch,NEWPurpleLink,NEWSOSites,NEWStuck,OpSys,OrgSize,PlatformDesireNextYear,PlatformWorkedWith,PurchaseWhat,Sexuality,SOAccount,SOComm,SOPartFreq,SOVisitFreq,SurveyEase,SurveyLength,Trans,UndergradMajor,WebframeDesireNextYear,WebframeWorkedWith,WelcomeChange,WorkWeekHrs,YearsCode,YearsCodePro
91,I am a developer by profession,Yes,28.0,25,Monthly,70000000.0,61476.0,Indonesia,Indonesian rupiah,IDR,PostgreSQL,PostgreSQL,Designer,Some college/university study without earning a degree,Employed full-time,,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Remote work options",Very satisfied,I am not interested in new job opportunities,HTML/CSS;JavaScript;Ruby;TypeScript,HTML/CSS;JavaScript;Ruby;TypeScript,,,,,Yes,Extremely important,Not at all important/not necessary,,,Every few months,No,Yes,No,Often: 1-2 days per week or more,Start a free trial,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Do other work and come back later,Linux-based,20 to 99 employees,Android;iOS;Linux;MacOS;Windows,Android;iOS;Linux;MacOS;Windows,I have some influence,Straight / Heterosexual,Yes,"Yes, definitely",Multiple times per day,Multiple times per day,Easy,Too long,No,"A health science (such as nursing, pharmacy, radiology, etc.)",Ruby on Rails,jQuery;Ruby on Rails,Not applicable - I did not use Stack Overflow last year,60.0,3,2
937,I am a student who is learning to code,Yes,27.0,18,,,,Indonesia,,,,MySQL;Oracle;SQLite,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Student,South Asian,Woman,"Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on;Office environment or company culture",,I am actively looking for a job,Kotlin;Rust,C;C#;C++;HTML/CSS;PHP;Python;R;SQL,Keras;TensorFlow;Torch/PyTorch;Unity 3D,Node.js;TensorFlow;Unity 3D,,Github;Slack,,,,,,Once a year,Not sure,,Yes,,Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Go for a walk or other physical activity;Panic;Watch help / tutorial videos;Visit another developer community (please name):,Linux-based,,Microsoft Azure,Android;Linux;MacOS;Windows,,,Yes,"Yes, somewhat",Less than once per month or monthly,Multiple times per day,Easy,Too short,No,"Computer science, computer engineering, or software engineering",React.js,React.js,Just as welcome now as I felt last year,,8,
4263,I am a developer by profession,Yes,40.0,15,Monthly,,,Indonesia,Indonesian rupiah,IDR,Microsoft SQL Server;SQLite,Cassandra;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,"Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, mobile;System administrator",Some college/university study without earning a degree,Employed full-time,Southeast Asian,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",Very satisfied,"I’m not actively looking, but I am open to new opportunities",C#;Rust;TypeScript,Assembly;Bash/Shell/PowerShell;C;C#;C++;HTML/CSS;Java;JavaScript;Perl;PHP;SQL;VBA,.NET;.NET Core;Xamarin,.NET;.NET Core;Unity 3D;Xamarin,Github;Microsoft Azure,"Github;Gitlab;Microsoft Teams;Microsoft Azure;Google Suite (Docs, Meet, etc)",No,Neutral,Somewhat important,Just because;Better compensation;Better work/life balance;Wanting to work with new technologies;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Every few months,Yes,Onboarding? What onboarding?,No,Often: 1-2 days per week or more,Start a free trial;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,Windows,100 to 499 employees,Android;iOS;Linux;MacOS;Microsoft Azure;Windows,Android;Docker;iOS;Linux;MacOS;Microsoft Azure;Windows,I have some influence,,Not sure/can't remember,Neutral,,A few times per month or weekly,Neither easy nor difficult,Too long,No,"A social science (such as anthropology, psychology, political science, etc.)",ASP.NET Core,Angular.js;ASP.NET;ASP.NET Core;Express;jQuery;Laravel;React.js;Ruby on Rails;Vue.js,Just as welcome now as I felt last year,50.0,25,20
4863,I am a developer by profession,Yes,,22,Monthly,,,Indonesia,Indonesian rupiah,IDR,Cassandra;DynamoDB,Firebase;MongoDB;MySQL;PostgreSQL;Redis;SQLite,"Developer, back-end",I never completed any formal education,Employed full-time,Southeast Asian,,"Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on;Office environment or company culture",Very dissatisfied,"I’m not actively looking, but I am open to new opportunities",Go;Java;TypeScript,HTML/CSS;JavaScript;PHP,TensorFlow;Unity 3D;Unreal Engine,Flutter;Node.js;React Native,,"Github;Gitlab;Facebook Workplace;Slack;Google Suite (Docs, Meet, etc)",Yes,Somewhat important,,Having a bad day (or week or month) at work;Trouble with my direct manager;Trouble with leadership at my company;Better work/life balance,,Every few months,Not sure,No,Yes,Often: 1-2 days per week or more,,Amused,Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos,Linux-based,2 to 9 employees,Docker;iOS;Kubernetes;MacOS,Android;AWS;Google Cloud Platform;Heroku;Linux,I have little or no influence,,Yes,Neutral,Daily or almost daily,Multiple times per day,Neither easy nor difficult,Too long,,,,Express;jQuery;Laravel;React.js;Vue.js,Just as welcome now as I felt last year,,3,Less than 1 year
5146,I am a student who is learning to code,No,21.0,18,,,,Indonesia,,,Firebase;MongoDB,MySQL;Oracle,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Student,Southeast Asian,Man,"Languages, frameworks, and other technologies I’d be working with;Financial performance or funding status of the company or organization;Opportunities for professional development",,"I’m not actively looking, but I am open to new opportunities",Dart;Go;TypeScript,C;Dart;Go;Java;PHP;SQL,Flutter;Node.js,Flutter,Github;Gitlab,Github;Gitlab,,,,,,Every few months,Not sure,,Yes,,Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Watch help / tutorial videos,Windows,,Android;iOS,Android;iOS,,Straight / Heterosexual,Yes,"Yes, somewhat",Daily or almost daily,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",React.js;Vue.js,jQuery,Just as welcome now as I felt last year,,3,
5188,I am a developer by profession,Yes,29.0,18,,,,Indonesia,Indonesian rupiah,IDR,Firebase;PostgreSQL,PostgreSQL,"Data scientist or machine learning specialist;Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",Southeast Asian,Man,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",Very dissatisfied,I am not interested in new job opportunities,Bash/Shell/PowerShell;Haskell;HTML/CSS;Julia;Rust,Bash/Shell/PowerShell;HTML/CSS;Python;Scala,Apache Spark;Hadoop,Apache Spark;Hadoop;Pandas;TensorFlow;Torch/PyTorch,"Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)","Confluence;Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",No,Extremely important,Very important,Wanting to share accomplishments with a wider network;Curious about other opportunities;Better compensation;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Every few months,Yes,Yes,Yes,Often: 1-2 days per week or more,Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,Indifferent,Stack Overflow (public Q&A for anyone who codes),Meditate;Call a coworker or friend;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,MacOS,10 to 19 employees,AWS;Docker;Google Cloud Platform;Linux;MacOS,Docker;Google Cloud Platform;Linux;MacOS,,Straight / Heterosexual,No,"No, not really",,Daily or almost daily,Neither easy nor difficult,Too long,No,"A social science (such as anthropology, psychology, political science, etc.)",,,,50.0,11,5
5323,"I am not primarily a developer, but I write code sometimes as part of my work",No,42.0,19,,,,Indonesia,Indonesian rupiah,IDR,MongoDB;MySQL,Firebase;MySQL,Senior executive/VP,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,White or of European descent,,Industry that I’d be working in;Specific department or team I’d be working on;Financial performance or funding status of the company or organization,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Dart;Python,Dart;Python,Flutter;Pandas;TensorFlow;Unity 3D,Flutter;Pandas;TensorFlow,"Github;Trello;Google Suite (Docs, Meet, etc)","Github;Slack;Trello;Google Suite (Docs, Meet, etc)",No,Somewhat important,Not at all important/not necessary,Better compensation,Personal network - friends or family,Once every few years,Not sure,No,Yes,Often: 1-2 days per week or more,Start a free trial;Read ratings or reviews on third party sites like G2Crowd,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):,Windows,500 to 999 employees,Android,Android,I have a great deal of influence,,Yes,Neutral,Less than once per month or monthly,A few times per week,Neither easy nor difficult,Too long,,"A business discipline (such as accounting, finance, marketing, etc.)",,,Somewhat more welcome now than last year,50.0,4,1
5450,I am a developer by profession,No,48.0,21,Monthly,15000000.0,13176.0,Indonesia,Indonesian rupiah,IDR,PostgreSQL;Redis,PostgreSQL;Redis,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",South Asian,Man,,Very dissatisfied,I am not interested in new job opportunities,HTML/CSS;Ruby;TypeScript,HTML/CSS;Ruby;TypeScript,React Native,React Native,Github;Stack Overflow for Teams,Github;Stack Overflow for Teams,Yes,Neutral,Fairly important,,,Once every few years,No,Yes,No,Occasionally: 1-2 days per quarter but less than monthly,Ask developers I know/work with,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Watch help / tutorial videos,MacOS,"Just me - I am a freelancer, sole proprietor, etc.",Docker;Linux,Linux,,Straight / Heterosexual,Yes,"Yes, definitely",Less than once per month or monthly,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",React.js;Ruby on Rails,React.js;Ruby on Rails,A lot more welcome now than last year,40.0,10,4
5558,I am a developer by profession,No,31.0,21,Monthly,10000000.0,8784.0,Indonesia,Indonesian rupiah,IDR,Microsoft SQL Server;MySQL,Microsoft SQL Server;MySQL,"Data or business analyst;Database administrator;Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Southeast Asian,Man,"Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",C#;JavaScript,C#;SQL,.NET;React Native;Xamarin,.NET,Github,Github,No,Neutral,Somewhat important,Curious about other opportunities;Better compensation;Wanting to work with new technologies,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Read other media like news articles, founder profiles, etc. about the company",Once every few years,Yes,No,No,Sometimes: 1-2 days per month but less than weekly,Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Watch help / tutorial videos,Windows,500 to 999 employees,Android;Windows,Windows,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per week,Daily or almost daily,Easy,Appropriate in length,No,"Information systems, information technology, or system administration",,,Just as welcome now as I felt last year,40.0,10,8
5602,I am a developer by profession,Yes,21.0,13,Monthly,10000000.0,8784.0,Indonesia,Indonesian rupiah,IDR,,Firebase;MariaDB;MongoDB;SQLite,"Developer, front-end","Associate degree (A.A., A.S., etc.)",Employed full-time,Southeast Asian,Man,Remote work options;How widely used or impactful my work output would be;Office environment or company culture,Very dissatisfied,"I’m not actively looking, but I am open to new opportunities",JavaScript;TypeScript,JavaScript,Node.js,Node.js;TensorFlow,Confluence;Jira;Github;Slack,Github;Gitlab,Yes,Extremely important,Somewhat important,Wanting to share accomplishments with a wider network;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Once a year,Yes,Yes,Yes,Never,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Go for a walk or other physical activity,MacOS,500 to 999 employees,MacOS,Android;Docker;Linux,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,A few times per week,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Vue.js,Express;Vue.js,Just as welcome now as I felt last year,32.0,7,2
